,Temperature (K),Concentration A (mol/L),Concentration B (mol/L),Reaction Rate (mol/L·s)
103,310,0.1,0.4,0.09208536638114681
104,310,0.1,0.5,0.11510670588278579
105,310,0.1,0.6,0.13812804454696576
106,310,0.1,0.7000000000000001,0.16114938237368678
107,310,0.1,0.8,0.1841707193629489
108,310,0.1,0.9,0.20719205551475217
109,310,0.1,1.0,0.23021339082909661
110,310,0.2,0.1,0.04604268486549168
111,310,0.2,0.2,0.09208536805606507
112,310,0.2,0.30000000000000004,0.13812804957172026
113,310,0.2,0.4,0.18417072941245727
114,310,0.2,0.5,0.23021340757827632
115,310,0.2,0.6,0.2762560840691774
116,310,0.2,0.7000000000000001,0.32229875888516063
117,310,0.2,0.8,0.3683414320262261
118,310,0.2,0.9,0.414384103492374
119,310,0.2,1.0,0.4604267732836042
120,310,0.30000000000000004,0.1,0.06906402604204878
121,310,0.30000000000000004,0.2,0.13812804957172023
122,310,0.30000000000000004,0.30000000000000004,0.20719207058901448
123,310,0.30000000000000004,0.4,0.2762560890939315
124,310,0.30000000000000004,0.5,0.34532010508647176
125,310,0.30000000000000004,0.6,0.41438411856663515
126,310,0.30000000000000004,0.7000000000000001,0.4834481295344218
127,310,0.30000000000000004,0.8,0.5525121379898319
128,310,0.30000000000000004,0.9,0.6215761439328658
129,310,0.30000000000000004,1.0,0.6906401473635232
130,310,0.4,0.1,0.09208536638114681
131,310,0.4,0.2,0.18417072941245727
132,310,0.4,0.30000000000000004,0.27625608909393157
133,310,0.4,0.4,0.3683414454255698
134,310,0.4,0.5,0.46042679840737233
135,310,0.4,0.6,0.5525121480393391
136,310,0.4,0.7000000000000001,0.6445974943214705
137,310,0.4,0.8,0.7366828372537666
138,310,0.4,0.9,0.8287681768362277
139,310,0.4,1.0,0.9208535130688539
140,310,0.5,0.1,0.11510670588278579
141,310,0.5,0.2,0.23021340757827632
142,310,0.5,0.30000000000000004,0.34532010508647176
143,310,0.5,0.4,0.46042679840737233
144,310,0.5,0.5,0.5755334875409783
145,310,0.5,0.6,0.6906401724872899
146,310,0.5,0.7000000000000001,0.8057468532463073
147,310,0.5,0.8,0.9208535298180308
148,310,0.5,0.9,1.0359602022024608
149,310,0.5,1.0,1.151066870399597
150,310,0.6,0.1,0.13812804454696576
151,310,0.6,0.2,0.2762560840691774
152,310,0.6,0.30000000000000004,0.41438411856663515
153,310,0.6,0.4,0.5525121480393391
154,310,0.6,0.5,0.6906401724872899
155,310,0.6,0.6,0.8287681919104875
156,310,0.6,0.7000000000000001,0.9668962063089324
157,310,0.6,0.8,1.1050242156826247
158,310,0.6,0.9,1.2431522200315648
159,310,0.6,1.0,1.3812802193557527
160,310,0.7000000000000001,0.1,0.16114938237368678
161,310,0.7000000000000001,0.2,0.32229875888516063
162,310,0.7000000000000001,0.30000000000000004,0.4834481295344218
163,310,0.7000000000000001,0.4,0.6445974943214705
164,310,0.7000000000000001,0.5,0.8057468532463073
165,310,0.7000000000000001,0.6,0.9668962063089324
166,310,0.7000000000000001,0.7000000000000001,1.128045553509346
167,310,0.7000000000000001,0.8,1.2891948948475487
168,310,0.7000000000000001,0.9,1.4503442303235408
169,310,0.7000000000000001,1.0,1.611493559937322
170,310,0.8,0.1,0.1841707193629489
171,310,0.8,0.2,0.3683414320262261
172,310,0.8,0.30000000000000004,0.552512137989832
173,310,0.8,0.4,0.7366828372537666
174,310,0.8,0.5,0.9208535298180308
175,310,0.8,0.6,1.1050242156826247
176,310,0.8,0.7000000000000001,1.2891948948475487
177,310,0.8,0.8,1.473365567312803
178,310,0.8,0.9,1.6575362330783883
179,310,0.8,1.0,1.8417068921443045
180,310,0.9,0.1,0.20719205551475217
181,310,0.9,0.2,0.414384103492374
182,310,0.9,0.30000000000000004,0.6215761439328658
183,310,0.9,0.4,0.8287681768362277
184,310,0.9,0.5,1.0359602022024608
185,310,0.9,0.6,1.2431522200315648
186,310,0.9,0.7000000000000001,1.4503442303235408
187,310,0.9,0.8,1.6575362330783883
188,310,0.9,0.9,1.8647282282961086
189,310,0.9,1.0,2.071920215976702
190,310,1.0,0.1,0.23021339082909661
191,310,1.0,0.2,0.4604267732836042
192,310,1.0,0.30000000000000004,0.6906401473635232
193,310,1.0,0.4,0.9208535130688539
194,310,1.0,0.5,1.151066870399597
195,310,1.0,0.6,1.3812802193557527
196,310,1.0,0.7000000000000001,1.611493559937322
197,310,1.0,0.8,1.8417068921443045
198,310,1.0,0.9,2.071920215976702
199,310,1.0,1.0,2.302133531434513
200,320,0.1,0.1,0.05715629373735076
201,320,0.1,0.2,0.11431258409772378
202,320,0.1,0.30000000000000004,0.17146887108111944
203,320,0.1,0.4,0.22862515468753788
204,320,0.1,0.5,0.28578143491697955
205,320,0.1,0.6,0.3429377117694447
206,320,0.1,0.7000000000000001,0.40009398524493367
207,320,0.1,0.8,0.45725025534344665
208,320,0.1,0.9,0.5144065220649839
209,320,0.1,1.0,0.5715627854095461
210,320,0.2,0.1,0.11431258409772378
211,320,0.2,0.2,0.2286251614414925
212,320,0.2,0.30000000000000004,0.3429377320313069
213,320,0.2,0.4,0.4572502958671672
214,320,0.2,0.5,0.5715628529490744
215,320,0.2,0.6,0.685875403277029
216,320,0.2,0.7000000000000001,0.8001879468510316
217,320,0.2,0.8,0.9145004836710826
218,320,0.2,0.9,1.0288130137371827
219,320,0.2,1.0,1.1431255370493327
220,320,0.30000000000000004,0.1,0.17146887108111944
221,320,0.30000000000000004,0.2,0.3429377320313069
222,320,0.30000000000000004,0.30000000000000004,0.5144065828505633
223,320,0.30000000000000004,0.4,0.6858754235388895
224,320,0.30000000000000004,0.5,0.8573442540962865
225,320,0.30000000000000004,0.6,1.028813074522755
226,320,0.30000000000000004,0.7000000000000001,1.2002818848182963
227,320,0.30000000000000004,0.8,1.3717506849829109
228,320,0.30000000000000004,0.9,1.5432194750165993
229,320,0.30000000000000004,1.0,1.7146882549193636
230,320,0.4,0.1,0.22862515468753788
231,320,0.4,0.2,0.4572502958671672
232,320,0.4,0.30000000000000004,0.6858754235388895
233,320,0.4,0.4,0.9145005377027052
234,320,0.4,0.5,1.1431256383586164
235,320,0.4,0.6,1.3717507255066237
236,320,0.4,0.7000000000000001,1.6003757991467287
237,320,0.4,0.8,1.8290008592789324
238,320,0.4,0.9,2.0576259059032354
239,320,0.4,1.0,2.28625093901964
240,320,0.5,0.1,0.28578143491697955
241,320,0.5,0.2,0.5715628529490744
242,320,0.5,0.30000000000000004,0.8573442540962865
243,320,0.5,0.4,1.1431256383586164
244,320,0.5,0.5,1.4289070057360664
245,320,0.5,0.6,1.7146883562286381
246,320,0.5,0.7000000000000001,2.0004696898363323
247,320,0.5,0.8,2.286251006559151
248,320,0.5,0.9,2.5720323063970953
249,320,0.5,1.0,2.8578135893501675
250,320,0.6,0.1,0.34293771176944476
251,320,0.6,0.2,0.6858754032770291
252,320,0.6,0.30000000000000004,1.028813074522755
253,320,0.6,0.4,1.371750725506624
254,320,0.6,0.5,1.7146883562286381
255,320,0.6,0.6,2.057625966688799
256,320,0.6,0.7000000000000001,2.400563556887109
257,320,0.6,0.8,2.743501126823569
258,320,0.6,0.9,3.086438676498181
259,320,0.6,1.0,3.4293762059109474
260,320,0.7000000000000001,0.1,0.40009398524493367
261,320,0.7000000000000001,0.2,0.8001879468510316
262,320,0.7000000000000001,0.30000000000000004,1.2002818848182961
263,320,0.7000000000000001,0.4,1.6003757991467287
264,320,0.7000000000000001,0.5,2.0004696898363323
265,320,0.7000000000000001,0.6,2.4005635568871084
266,320,0.7000000000000001,0.7000000000000001,2.8006574002990594
267,320,0.7000000000000001,0.8,3.200751220072188
268,320,0.7000000000000001,0.9,3.600845016206494
269,320,0.7000000000000001,1.0,4.0009387887019825
270,320,0.8,0.1,0.45725025534344665
271,320,0.8,0.2,0.9145004836710826
272,320,0.8,0.30000000000000004,1.3717506849829109
273,320,0.8,0.4,1.8290008592789324
274,320,0.8,0.5,2.286251006559151
275,320,0.8,0.6,2.7435011268235687
276,320,0.8,0.7000000000000001,3.200751220072188
277,320,0.8,0.8,3.6580012863050104
278,320,0.8,0.9,4.115251325522038
279,320,0.8,1.0,4.572501337723277
280,320,0.9,0.1,0.5144065220649839
281,320,0.9,0.2,1.0288130137371827
282,320,0.9,0.30000000000000004,1.5432194750165993
283,320,0.9,0.4,2.0576259059032354
284,320,0.9,0.5,2.5720323063970953
285,320,0.9,0.6,3.086438676498181
286,320,0.9,0.7000000000000001,3.600845016206494
287,320,0.9,0.8,4.115251325522038
288,320,0.9,0.9,4.629657604444817
289,320,0.9,1.0,5.144063852974832
290,320,1.0,0.1,0.5715627854095461
291,320,1.0,0.2,1.1431255370493327
292,320,1.0,0.30000000000000004,1.7146882549193636
293,320,1.0,0.4,2.28625093901964
294,320,1.0,0.5,2.8578135893501675
295,320,1.0,0.6,3.4293762059109474
296,320,1.0,0.7000000000000001,4.0009387887019825
297,320,1.0,0.8,4.572501337723277
298,320,1.0,0.9,5.144063852974832
299,320,1.0,1.0,5.715626334456653
300,330,0.1,0.1,0.13429569859132087
301,330,0.1,0.2,0.26859138466876575
302,330,0.1,0.30000000000000004,0.4028870582323364
303,330,0.1,0.4,0.5371827192820345
304,330,0.1,0.5,0.6714783678178619
305,330,0.1,0.6,0.8057740038398203
306,330,0.1,0.7000000000000001,0.9400696273479113
307,330,0.1,0.8,1.074365238342137
308,330,0.1,0.9,1.2086608368224987
309,330,0.1,1.0,1.3429564227889983
310,330,0.2,0.1,0.26859138466876575
311,330,0.2,0.2,0.5371827443097819
312,330,0.2,0.30000000000000004,0.8057740789230519
313,330,0.2,0.4,1.074365388508579
314,330,0.2,0.5,1.3429566730663671
315,330,0.2,0.6,1.6115479325964197
316,330,0.2,0.7000000000000001,1.8801391670987397
317,330,0.2,0.8,2.1487303765733317
318,330,0.2,0.9,2.4173215610201977
319,330,0.2,1.0,2.685912720439342
320,330,0.30000000000000004,0.1,0.40288705823233645
321,330,0.30000000000000004,0.2,0.805774078923052
322,330,0.30000000000000004,0.30000000000000004,1.2086610620721518
323,330,0.30000000000000004,0.4,1.6115480076796411
324,330,0.30000000000000004,0.5,2.014434915745525
325,330,0.30000000000000004,0.6,2.4173217862698086
326,330,0.30000000000000004,0.7000000000000001,2.8202086192524978
327,330,0.30000000000000004,0.8,3.223095414693598
328,330,0.30000000000000004,0.9,3.6259821725931123
329,330,0.30000000000000004,1.0,4.028868892951048
330,330,0.4,0.1,0.5371827192820345
331,330,0.4,0.2,1.074365388508579
332,330,0.4,0.30000000000000004,1.611548007679641
333,330,0.4,0.4,2.1487305767952263
334,330,0.4,0.5,2.6859130958553425
335,330,0.4,0.6,3.2230955648599973
336,330,0.4,0.7000000000000001,3.7602779838091966
337,330,0.4,0.8,4.297460352702948
338,330,0.4,0.9,4.834642671541259
339,330,0.4,1.0,5.371824940324134
340,330,0.5,0.1,0.6714783678178619
341,330,0.5,0.2,1.3429566730663671
342,330,0.5,0.30000000000000004,2.014434915745525
343,330,0.5,0.4,2.6859130958553425
344,330,0.5,0.5,3.3573912133958297
345,330,0.5,0.6,4.028869268366996
346,330,0.5,0.7000000000000001,4.700347260768849
347,330,0.5,0.8,5.371825190601398
348,330,0.5,0.9,6.043303057864651
349,330,0.5,1.0,6.714780862558617
350,330,0.6,0.1,0.8057740038398203
351,330,0.6,0.2,1.6115479325964197
352,330,0.6,0.30000000000000004,2.417321786269808
353,330,0.6,0.4,3.2230955648599973
354,330,0.6,0.5,4.028869268366996
355,330,0.6,0.6,4.834642896790816
356,330,0.6,0.7000000000000001,5.640416450131468
357,330,0.6,0.8,6.4461899283889625
358,330,0.6,0.9,7.251963331563307
359,330,0.6,1.0,8.057736659654516
360,330,0.7000000000000001,0.1,0.9400696273479114
361,330,0.7000000000000001,0.2,1.88013916709874
362,330,0.7000000000000001,0.30000000000000004,2.8202086192524978
363,330,0.7000000000000001,0.4,3.760277983809197
364,330,0.7000000000000001,0.5,4.700347260768849
365,330,0.7000000000000001,0.6,5.640416450131468
366,330,0.7000000000000001,0.7000000000000001,6.580485551897065
367,330,0.7000000000000001,0.8,7.520554566065654
368,330,0.7000000000000001,0.9,8.460623492637241
369,330,0.7000000000000001,1.0,9.400692331611845
370,330,0.8,0.1,1.074365238342137
371,330,0.8,0.2,2.1487303765733317
372,330,0.8,0.30000000000000004,3.2230954146935975
373,330,0.8,0.4,4.297460352702948
374,330,0.8,0.5,5.371825190601398
375,330,0.8,0.6,6.4461899283889625
376,330,0.8,0.7000000000000001,7.520554566065653
377,330,0.8,0.8,8.594919103631485
378,330,0.8,0.9,9.669283541086472
379,330,0.8,1.0,10.743647878430627
380,330,0.9,0.1,1.2086608368224987
381,330,0.9,0.2,2.4173215610201977
382,330,0.9,0.30000000000000004,3.6259821725931123
383,330,0.9,0.4,4.834642671541259
384,330,0.9,0.5,6.043303057864651
385,330,0.9,0.6,7.251963331563307
386,330,0.9,0.7000000000000001,8.460623492637241
387,330,0.9,0.8,9.669283541086472
388,330,0.9,0.9,10.87794347691101
389,330,0.9,1.0,12.086603300110873
390,330,1.0,0.1,1.3429564227889983
391,330,1.0,0.2,2.685912720439342
392,330,1.0,0.30000000000000004,4.028868892951048
393,330,1.0,0.4,5.371824940324134
394,330,1.0,0.5,6.714780862558617
395,330,1.0,0.6,8.057736659654516
396,330,1.0,0.7000000000000001,9.400692331611845
397,330,1.0,0.8,10.743647878430627
398,330,1.0,0.9,12.086603300110873
399,330,1.0,1.0,13.429558596652605
400,340,0.1,0.1,0.3000797738793147
401,340,0.1,0.2,0.6001595048254638
402,340,0.1,0.30000000000000004,0.9002391928384564
403,340,0.1,0.4,1.2003188379183019
404,340,0.1,0.5,1.5003984400650092
405,340,0.1,0.6,1.8004779992785875
406,340,0.1,0.7000000000000001,2.100557515559047
407,340,0.1,0.8,2.400636988906395
408,340,0.1,0.9,2.700716419320643
409,340,0.1,1.0,3.000795806801798
410,340,0.2,0.1,0.6001595048254638
411,340,0.2,0.2,1.2003189237846088
412,340,0.2,0.30000000000000004,1.800478256877453
413,340,0.2,0.4,2.400637504104015
414,340,0.2,0.5,3.0007966654643132
415,340,0.2,0.6,3.6009557409583657
416,340,0.2,0.7000000000000001,4.201114730586193
417,340,0.2,0.8,4.80127363434781
418,340,0.2,0.9,5.401432452243238
419,340,0.2,1.0,6.001591184272494
420,340,0.30000000000000004,0.1,0.9002391928384565
421,340,0.30000000000000004,0.2,1.8004782568774533
422,340,0.30000000000000004,0.30000000000000004,2.700717192117017
423,340,0.30000000000000004,0.4,3.600955998557177
424,340,0.30000000000000004,0.5,4.501194676197958
425,340,0.30000000000000004,0.6,5.40143322503939
426,340,0.30000000000000004,0.7000000000000001,6.301671645081501
427,340,0.30000000000000004,0.8,7.201909936324317
428,340,0.30000000000000004,0.9,8.102148098767866
429,340,0.30000000000000004,1.0,9.002386132412177
430,340,0.4,0.1,1.2003188379183019
431,340,0.4,0.2,2.400637504104015
432,340,0.4,0.30000000000000004,3.6009559985571764
433,340,0.4,0.4,4.801274321277822
434,340,0.4,0.5,6.0015924722659895
435,340,0.4,0.6,7.201910451521714
436,340,0.4,0.7000000000000001,8.402228259045037
437,340,0.4,0.8,9.60254589483599
438,340,0.4,0.9,10.802863358894614
439,340,0.4,1.0,12.00318065122094
440,340,0.5,0.1,1.5003984400650092
441,340,0.5,0.2,3.0007966654643132
442,340,0.5,0.30000000000000004,4.501194676197958
443,340,0.5,0.4,6.0015924722659895
444,340,0.5,0.5,7.501990053668452
445,340,0.5,0.6,9.002387420405395
446,340,0.5,0.7000000000000001,10.502784572476864
447,340,0.5,0.8,12.0031815098829
448,340,0.5,0.9,13.503578232623557
449,340,0.5,1.0,15.003974740698874
450,340,0.6,0.1,1.8004779992785875
451,340,0.6,0.2,3.6009557409583657
452,340,0.6,0.30000000000000004,5.40143322503939
453,340,0.6,0.4,7.201910451521714
454,340,0.6,0.5,9.002387420405395
455,340,0.6,0.6,10.802864131690484
456,340,0.6,0.7000000000000001,12.603340585377046
457,340,0.6,0.8,14.403816781465125
458,340,0.6,0.9,16.204292719954786
459,340,0.6,1.0,18.004768400846075
460,340,0.7000000000000001,0.1,2.100557515559047
461,340,0.7000000000000001,0.2,4.201114730586193
462,340,0.7000000000000001,0.30000000000000004,6.301671645081501
463,340,0.7000000000000001,0.4,8.402228259045037
464,340,0.7000000000000001,0.5,10.502784572476864
465,340,0.7000000000000001,0.6,12.603340585377046
466,340,0.7000000000000001,0.7000000000000001,14.703896297745654
467,340,0.7000000000000001,0.8,16.804451709582743
468,340,0.7000000000000001,0.9,18.905006820888385
469,340,0.7000000000000001,1.0,21.005561631662637
470,340,0.8,0.1,2.400636988906395
471,340,0.8,0.2,4.80127363434781
472,340,0.8,0.30000000000000004,7.201909936324316
473,340,0.8,0.4,9.60254589483599
474,340,0.8,0.5,12.0031815098829
475,340,0.8,0.6,14.403816781465125
476,340,0.8,0.7000000000000001,16.804451709582743
477,340,0.8,0.8,19.205086294235812
478,340,0.8,0.9,21.605720535424425
479,340,0.8,1.0,24.00635443314864
480,340,0.9,0.1,2.700716419320643
481,340,0.9,0.2,5.401432452243238
482,340,0.9,0.30000000000000004,8.102148098767866
483,340,0.9,0.4,10.802863358894614
484,340,0.9,0.5,13.503578232623557
485,340,0.9,0.6,16.204292719954783
486,340,0.9,0.7000000000000001,18.905006820888385
487,340,0.9,0.8,21.605720535424425
488,340,0.9,0.9,24.306433863563
489,340,0.9,1.0,27.00714680530419
490,340,1.0,0.1,3.000795806801798
491,340,1.0,0.2,6.001591184272494
492,340,1.0,0.30000000000000004,9.002386132412177
493,340,1.0,0.4,12.00318065122094
494,340,1.0,0.5,15.003974740698874
495,340,1.0,0.6,18.004768400846075
496,340,1.0,0.7000000000000001,21.005561631662637
497,340,1.0,0.8,24.00635443314864
498,340,1.0,0.9,27.00714680530419
499,340,1.0,1.0,30.007938748129366
500,350,0.1,0.1,0.6404105813370586
501,350,0.1,0.2,1.2808210253965404
502,350,0.1,0.30000000000000004,1.92123133217849
503,350,0.1,0.4,2.5616415016829506
504,350,0.1,0.5,3.202051533909967
505,350,0.1,0.6,3.8424614288595826
506,350,0.1,0.7000000000000001,4.4828711865318445
507,350,0.1,0.8,5.123280806926792
508,350,0.1,0.9,5.763690290044473
509,350,0.1,1.0,6.404099635884929
510,350,0.2,0.1,1.2808210253965404
511,350,0.2,0.2,2.561641776237986
512,350,0.2,0.30000000000000004,3.842462252524426
513,350,0.2,0.4,5.123282454255946
514,350,0.2,0.5,6.404102381432638
515,350,0.2,0.6,7.684922034054587
516,350,0.2,0.7000000000000001,8.965741412121886
517,350,0.2,0.8,10.246560515634618
518,350,0.2,0.9,11.527379344592873
519,350,0.2,1.0,12.808197898996738
520,350,0.30000000000000004,0.1,1.9212313321784897
521,350,0.30000000000000004,0.2,3.8424622525244256
522,350,0.30000000000000004,0.30000000000000004,5.763692761037942
523,350,0.30000000000000004,0.4,7.684922857719166
524,350,0.30000000000000004,0.5,9.606152542568237
525,350,0.30000000000000004,0.6,11.527381815585281
526,350,0.30000000000000004,0.7000000000000001,13.44861067677044
527,350,0.30000000000000004,0.8,15.369839126123832
528,350,0.30000000000000004,0.9,17.291067163645604
529,350,0.30000000000000004,1.0,19.212294789335875
530,350,0.4,0.1,2.5616415016829506
531,350,0.4,0.2,5.123282454255946
532,350,0.4,0.30000000000000004,7.684922857719167
533,350,0.4,0.4,10.246562712072786
534,350,0.4,0.5,12.80820201731698
535,350,0.4,0.6,15.369840773451925
536,350,0.4,0.7000000000000001,17.931478980477806
537,350,0.4,0.8,20.493116638394785
538,350,0.4,0.9,23.05475374720305
539,350,0.4,1.0,25.61639030690277
540,350,0.5,0.1,3.202051533909967
541,350,0.5,0.2,6.404102381432638
542,350,0.5,0.30000000000000004,9.606152542568237
543,350,0.5,0.4,12.80820201731698
544,350,0.5,0.5,16.010250805679092
545,350,0.5,0.6,19.212298907654787
546,350,0.5,0.7000000000000001,22.4143463232443
547,350,0.5,0.8,25.616393052447833
548,350,0.5,0.9,28.81843909526562
549,350,0.5,1.0,32.020484451697875
550,350,0.6,0.1,3.8424614288595826
551,350,0.6,0.2,7.684922034054587
552,350,0.6,0.30000000000000004,11.527381815585281
553,350,0.6,0.4,15.369840773451925
554,350,0.6,0.5,19.212298907654787
555,350,0.6,0.6,23.05475621819413
556,350,0.6,0.7000000000000001,26.89721270507022
557,350,0.6,0.8,30.73966836828332
558,350,0.6,0.9,34.582123207833696
559,350,0.6,1.0,38.42457722372161
560,350,0.7000000000000001,0.1,4.4828711865318445
561,350,0.7000000000000001,0.2,8.965741412121886
562,350,0.7000000000000001,0.30000000000000004,13.448610676770441
563,350,0.7000000000000001,0.4,17.931478980477806
564,350,0.7000000000000001,0.5,22.4143463232443
565,350,0.7000000000000001,0.6,26.897212705070224
566,350,0.7000000000000001,0.7000000000000001,31.380078125955905
567,350,0.7000000000000001,0.8,35.86294258590163
568,350,0.7000000000000001,0.9,40.345806084907714
569,350,0.7000000000000001,1.0,44.82866862297447
570,350,0.8,0.1,5.123280806926792
571,350,0.8,0.2,10.246560515634618
572,350,0.8,0.30000000000000004,15.369839126123834
573,350,0.8,0.4,20.493116638394785
574,350,0.8,0.5,25.616393052447833
575,350,0.8,0.6,30.73966836828332
576,350,0.8,0.7000000000000001,35.86294258590163
577,350,0.8,0.8,40.98621570530307
578,350,0.8,0.9,46.10948772648802
579,350,0.8,1.0,51.23275864945683
580,350,0.9,0.1,5.763690290044473
581,350,0.9,0.2,11.527379344592873
582,350,0.9,0.30000000000000004,17.291067163645607
583,350,0.9,0.4,23.05475374720305
584,350,0.9,0.5,28.81843909526562
585,350,0.9,0.6,34.5821232078337
586,350,0.9,0.7000000000000001,40.34580608490772
587,350,0.9,0.8,46.10948772648802
588,350,0.9,0.9,51.873168132575046
589,350,0.9,1.0,57.63684730316917
590,350,1.0,0.1,6.404099635884929
591,350,1.0,0.2,12.808197898996738
592,350,1.0,0.30000000000000004,19.212294789335875
593,350,1.0,0.4,25.61639030690277
594,350,1.0,0.5,32.020484451697875
595,350,1.0,0.6,38.42457722372161
596,350,1.0,0.7000000000000001,44.82866862297447
597,350,1.0,0.8,51.23275864945683
598,350,1.0,0.9,57.63684730316917
599,350,1.0,1.0,64.04093458411191
600,360,0.1,0.1,1.3103585944809903
601,360,0.1,0.2,2.620716777469935
602,360,0.1,0.30000000000000004,3.9310745489670262
603,360,0.1,0.4,5.24143190897246
604,360,0.1,0.5,6.551788857486429
605,360,0.1,0.6,7.8621453945091275
606,360,0.1,0.7000000000000001,9.172501520040749
607,360,0.1,0.8,10.48285723408149
608,360,0.1,0.9,11.793212536631538
609,360,0.1,1.0,13.103567427691093
610,360,0.2,0.1,2.620716777469935
611,360,0.2,0.2,5.241432731956036
612,360,0.2,0.30000000000000004,7.8621478634586905
613,360,0.2,0.4,10.482862171978288
614,360,0.2,0.5,13.103575657515213
615,360,0.2,0.6,15.724288320069856
616,360,0.2,0.7000000000000001,18.345000159642602
